date,Date,Count
Garrett County,03-01-2021,8
Garrett County,04-01-2021,11
Garrett County,05-01-2021,10
Garrett County,06-01-2021,10
Garrett County,07-01-2021,12
Garrett County,08-01-2021,12
Garrett County,09-01-2021,12
Garrett County,10-01-2021,11
Garrett County,11-01-2021,14
Garrett County,12-01-2021,16
Garrett County,01-01-2022,16
Garrett County,02-01-2022,16
Garrett County,03-01-2022,15
Garrett County,04-01-2022,15
Garrett County,05-01-2022,16
Garrett County,06-01-2022,16
Garrett County,07-01-2022,17
Garrett County,08-01-2022,17
Garrett County,09-01-2022,18
Garrett County,10-01-2022,19
Garrett County,11-01-2022,21
Garrett County,12-01-2022,21
Garrett County,01-01-2023,21
Garrett County,02-01-2023,20
Garrett County,03-01-2023,22
Garrett County,04-01-2023,25
Harford County,07-01-2020,281
Harford County,08-01-2020,293
Harford County,09-01-2020,298
Harford County,10-01-2020,302
Harford County,11-01-2020,308
Harford County,12-01-2020,313
Harford County,01-01-2021,313
Harford County,02-01-2021,314
Harford County,03-01-2021,327
Harford County,04-01-2021,349
Harford County,05-01-2021,364
Harford County,06-01-2021,388
Harford County,07-01-2021,393
Harford County,08-01-2021,408
Harford County,09-01-2021,422
Harford County,10-01-2021,436
Harford County,11-01-2021,444
Harford County,12-01-2021,449
Harford County,01-01-2022,467
Harford County,02-01-2022,472
Harford County,03-01-2022,490
Harford County,04-01-2022,508
Harford County,05-01-2022,515
Harford County,06-01-2022,531
Harford County,07-01-2022,541
Harford County,08-01-2022,560
Harford County,09-01-2022,562
Harford County,10-01-2022,565
Harford County,11-01-2022,581
Harford County,12-01-2022,587
Harford County,01-01-2023,595
Harford County,02-01-2023,602
Harford County,03-01-2023,628
Harford County,04-01-2023,646
Howard County,07-01-2020,1150
Howard County,08-01-2020,1155
Howard County,09-01-2020,1158
Howard County,10-01-2020,1177
Howard County,11-01-2020,1189
Howard County,12-01-2020,1212
Howard County,01-01-2021,1229
Howard County,02-01-2021,1231
Howard County,03-01-2021,1258
Howard County,04-01-2021,1295
Howard County,05-01-2021,1336
Howard County,06-01-2021,1387
Howard County,07-01-2021,1441
Howard County,08-01-2021,1489
Howard County,09-01-2021,1535
Howard County,10-01-2021,1579
Howard County,11-01-2021,1591
Howard County,12-01-2021,1650
Howard County,01-01-2022,1678
Howard County,02-01-2022,1712
Howard County,03-01-2022,1741
Howard County,04-01-2022,1761
Howard County,05-01-2022,1794
Howard County,06-01-2022,1847
Howard County,07-01-2022,1871
Howard County,08-01-2022,1907
Howard County,09-01-2022,1933
Howard County,10-01-2022,1982
Howard County,11-01-2022,2030
