county,Date,Count
Washington County,02-01-2022,242
Washington County,03-01-2022,245
Washington County,04-01-2022,257
Washington County,05-01-2022,263
Washington County,06-01-2022,285
Washington County,07-01-2022,284
Washington County,08-01-2022,291
Washington County,09-01-2022,299
Washington County,10-01-2022,306
Washington County,11-01-2022,328
Washington County,12-01-2022,341
Washington County,01-01-2023,354
Washington County,02-01-2023,367
Washington County,03-01-2023,382
Washington County,04-01-2023,391
Wicomico County,07-01-2020,50
Wicomico County,08-01-2020,52
Wicomico County,09-01-2020,55
Wicomico County,10-01-2020,59
Wicomico County,11-01-2020,59
Wicomico County,12-01-2020,59
Wicomico County,01-01-2021,59
Wicomico County,02-01-2021,61
Wicomico County,03-01-2021,65
Wicomico County,04-01-2021,65
Wicomico County,05-01-2021,67
Wicomico County,06-01-2021,74
Wicomico County,07-01-2021,76
Wicomico County,08-01-2021,74
Wicomico County,09-01-2021,76
Wicomico County,10-01-2021,78
Wicomico County,11-01-2021,85
Wicomico County,12-01-2021,88
Wicomico County,01-01-2022,90
Wicomico County,02-01-2022,93
Wicomico County,03-01-2022,98
Wicomico County,04-01-2022,103
Wicomico County,05-01-2022,106
Wicomico County,06-01-2022,120
Wicomico County,07-01-2022,123
Wicomico County,08-01-2022,128
Wicomico County,09-01-2022,138
Wicomico County,10-01-2022,138
Wicomico County,11-01-2022,153
Wicomico County,12-01-2022,157
Wicomico County,01-01-2023,163
Wicomico County,02-01-2023,170
Wicomico County,03-01-2023,178
Wicomico County,04-01-2023,185
Worcester County,07-01-2020,46
Worcester County,08-01-2020,47
Worcester County,09-01-2020,46
Worcester County,10-01-2020,49
Worcester County,11-01-2020,51
Worcester County,12-01-2020,54
Worcester County,01-01-2021,55
Worcester County,02-01-2021,58
Worcester County,03-01-2021,58
Worcester County,04-01-2021,56
Worcester County,05-01-2021,60
Worcester County,06-01-2021,61
Worcester County,07-01-2021,66
Worcester County,08-01-2021,68
Worcester County,09-01-2021,72
Worcester County,10-01-2021,77
Worcester County,11-01-2021,77
Worcester County,12-01-2021,76
Worcester County,01-01-2022,83
Worcester County,02-01-2022,87
Worcester County,03-01-2022,96
Worcester County,04-01-2022,99
Worcester County,05-01-2022,109
Worcester County,06-01-2022,114
Worcester County,07-01-2022,118
Worcester County,08-01-2022,125
Worcester County,09-01-2022,133
Worcester County,10-01-2022,135
Worcester County,11-01-2022,145
Worcester County,12-01-2022,159
Worcester County,01-01-2023,170
Worcester County,02-01-2023,175
Worcester County,03-01-2023,189
Worcester County,04-01-2023,197
